org_id	scientific_name	ncbi_taxon_id	in_proteins_dat	n_proteins	protein_ids	in_compounds_dat	n_compounds	compound_ids	n_genes	gene_ids	n_pathways_source	pathway_ids_source	in_gpml	gpml_as_geneproduct	gpml_as_protein	gpml_as_metabolite	n_gpml_geneproduct_nodes	n_gpml_protein_nodes	n_gpml_metabolite_nodes	n_gpml_pathway_files	gpml_name_form
TAX-3483	Cannabis sativa	3483	yes	9	CPLX-7057; CPLX-8550; MONOMER-12031; MONOMER-12033; MONOMER-12034 (... 9 total)	no	0		3	G-11413; G-9317; G-9319	9	PWY-5135; PWY-5140; PWY-6295; PWY-6316; PWY-6787 (... 9 total)	yes	yes	yes	no	8	13	0	10	resolved_name
TAX-4071	Capsicum	4071	yes	4	CPLX-7528; MONOMER-13530; MONOMER-13531; MONOMER-13534	no	0		3	G-10300; G-10301; G-10304	2	PWY-5710; PWY-6027	yes	yes	yes	no	1	3	0	2	resolved_name
TAX-4072	Capsicum annuum	4072	yes	11	CA08G10750-MONOMER; CPLX-7090; MONOMER-12145; MONOMER-12170; MONOMER-12171 (... 11 total)	no	0		6	ABA2; CA08G10750; G-11436; G-9395; G-9909 (... 6 total)	22	NONMEVIPP-PWY; PWY-361; PWY-46; PWY-5120; PWY-5122 (... 22 total)	yes	yes	yes	no	12	44	0	34	resolved_name
TAX-80379	Capsicum chinense	80379	yes	3	MONOMER-13528; MONOMER-13529; MONOMER-13706	no	0		3	G-10297; G-10298; G-10466	8	PWY-1121; PWY-361; PWY-5710; PWY-6039; PWY-6432 (... 8 total)	yes	yes	yes	no	9	9	0	8	resolved_name
TAX-4073	Capsicum frutescens	4073	yes	1	MONOMER-13532	no	0		1	G-10302	1	PWY-5710	yes	yes	yes	no	1	1	0	1	resolved_name
TAX-77880	Carapichea ipecacuanha	77880	yes	5	MONOMER-17755; MONOMER-17756; MONOMER-17757; MONOMER-17758; MONOMER-17759	no	0		5	G-15429; G-15430; G-15431; G-15432; G-15433	1	PWY-7135	yes	yes	yes	no	5	5	0	1	resolved_name
TAX-3649	Carica papaya	3649	no	0		yes	2	CPD-14646; CPD-14651	0		0		yes	no	no	yes	0	0	2	1	raw_id
TAX-4222	Carthamus tinctorius	4222	yes	4	MONOMER-16590; MONOMER-16594; MONOMER-16595; MONOMER-19149	no	0		1	G-43876	8	PWY-3561; PWY-6803; PWY-6804; PWY-7631; PWY3O-450 (... 8 total)	yes	yes	yes	no	1	10	0	10	resolved_name
TAX-48032	Carum carvi	48032	yes	3	MONOMER-18461; MONOMER-18463; MONOMER-18464	no	0		0		1	PWY-7443	yes	no	yes	no	0	3	0	1	resolved_name
ORG-5886	Cassia coluteoides	53851	yes	1	MONOMER-9281	no	0		0		4	MANNCAT-PWY; PWY-3861; PWY-3881; PWY-5659	yes	no	yes	no	0	4	0	4	resolved_name
TAX-4058	Catharanthus roseus	4058	yes	31	CPLX-6910; MONOMER-10641; MONOMER-11582; MONOMER-11583; MONOMER-11743 (... 31 total)	no	0		19	G-10613; G-12429; G-12430; G-15428; G-1662 (... 19 total)	47	ETHYL-PWY; METHIONINE-DEG1-PWY; PWY-3101; PWY-3181; PWY-4421 (... 47 total)	yes	yes	yes	no	61	95	0	61	resolved_name
TAX-124768	Celosia cristata	124768	yes	2	MONOMER-12777; MONOMER-12825	no	0		1	G-9790	2	PWY-5399; PWY-5400	yes	yes	yes	no	2	4	0	3	resolved_name
TAX-172057	Centaurium erythraea	172057	yes	4	MONOMER-11399; MONOMER-11400; MONOMER-11401; MONOMER-11402	no	0		0		1	PWY-5002	yes	no	yes	no	0	8	0	2	resolved_name
TAX-223054	Cephalocereus senilis	223054	yes	2	MONOMER-11835; MONOMER-11836	no	0		0		1	PWY-5059	yes	no	yes	no	0	2	0	1	resolved_name
TAX-3225	Ceratodon purpureus	3225	yes	2	MONOMER-15861; MONOMER-15862	no	0		2	G-12184; G-12185	3	PWY-5353; PWY-6603; PWY-6958	yes	yes	yes	no	6	6	0	3	resolved_name
TAX-103475	Cestrum elegans	103475	yes	1	MONOMER-18564	no	0		0		1	PWY-7461	yes	no	yes	no	0	1	0	1	resolved_name
TAX-119174	Chiliadenus	119174	no	0		yes	1	CPD-14374	0		0		yes	no	no	yes	0	0	1	1	raw_id
